1218084.BBJK01000057_gene4392,lolA,Outer-membrane&nbsp;lipoprotein&nbsp;carrier&nbsp;protein,98.9
1218084.BBJK01000052_gene4167,BBJK01000052_gene4167,annotation&nbsp;not&nbsp;available,98.5
1218084.BBJK01000183_gene7989,BBJK01000183_gene7989,annotation&nbsp;not&nbsp;available,98.5
1218084.BBJK01000003_gene420,BBJK01000003_gene420,Non-homologous&nbsp;end&nbsp;joining&nbsp;protein&nbsp;Ku,98.5
1218084.BBJK01000027_gene2634,lolD,Lipoprotein-releasing&nbsp;system&nbsp;ATP-binding&nbsp;protein&nbsp;LolD,98.5
1218084.BBJK01000001_gene47,BBJK01000001_gene47,annotation&nbsp;not&nbsp;available,98.4
1218084.BBJK01000030_gene2873,BBJK01000030_gene2873,annotation&nbsp;not&nbsp;available,98.4
1218084.BBJK01000021_gene2187,BBJK01000021_gene2187,annotation&nbsp;not&nbsp;available,98.4
1218084.BBJK01000193_gene8068,BBJK01000193_gene8068,annotation&nbsp;not&nbsp;available,98.4
1218084.BBJK01000145_gene7430,BBJK01000145_gene7430,annotation&nbsp;not&nbsp;available,98.4
1218084.BBJK01000117_gene6823,BBJK01000117_gene6823,annotation&nbsp;not&nbsp;available,98.4
1218084.BBJK01000138_gene7294,BBJK01000138_gene7294,annotation&nbsp;not&nbsp;available,98.4
1218084.BBJK01000057_gene4400,BBJK01000057_gene4400,annotation&nbsp;not&nbsp;available,98.3
1218084.BBJK01000026_gene2603,BBJK01000026_gene2603,annotation&nbsp;not&nbsp;available,98.3
1218084.BBJK01000072_gene5059,BBJK01000072_gene5059,annotation&nbsp;not&nbsp;available,98.3
1218084.BBJK01000027_gene2662,bamB,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamB,98.3
1218084.BBJK01000025_gene2566,BBJK01000025_gene2566,annotation&nbsp;not&nbsp;available,98.3
1218084.BBJK01000091_gene6003,BBJK01000091_gene6003,annotation&nbsp;not&nbsp;available,98.3
1218084.BBJK01000002_gene283,BBJK01000002_gene283,annotation&nbsp;not&nbsp;available,98.3
1218084.BBJK01000141_gene7335,BBJK01000141_gene7335,Flagellar&nbsp;M-ring&nbsp;protein,98.3
1218084.BBJK01000055_gene4305,BBJK01000055_gene4305,annotation&nbsp;not&nbsp;available,98.3
1218084.BBJK01000020_gene2130,BBJK01000020_gene2130,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000025_gene2560,glmM,Phosphoglucosamine&nbsp;mutase,98.2
1218084.BBJK01000013_gene1464,BBJK01000013_gene1464,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000028_gene2681,mutS,DNA&nbsp;mismatch&nbsp;repair&nbsp;protein&nbsp;MutS,98.2
1218084.BBJK01000147_gene7478,BBJK01000147_gene7478,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000065_gene4855,fadH,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000157_gene7699,BBJK01000157_gene7699,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000006_gene895,BBJK01000006_gene895,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000003_gene369,BBJK01000003_gene369,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000031_gene3001,BBJK01000031_gene3001,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000031_gene2982,BBJK01000031_gene2982,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000031_gene2945,BBJK01000031_gene2945,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000007_gene1084,BBJK01000007_gene1084,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000019_gene2056,BBJK01000019_gene2056,annotation&nbsp;not&nbsp;available,98.2
1218084.BBJK01000057_gene4319,BBJK01000057_gene4319,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000057_gene4375,ribH,"6,7-dimethyl-8-ribityllumazine&nbsp;synthase",98.1
1218084.BBJK01000131_gene7163,BBJK01000131_gene7163,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000042_gene3763,BBJK01000042_gene3763,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000055_gene4300,BBJK01000055_gene4300,Glutamine-dependent&nbsp;NAD(+)&nbsp;synthetase,98.1
1218084.BBJK01000055_gene4223,BBJK01000055_gene4223,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000054_gene4179,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,98.1
1218084.BBJK01000032_gene3159,ruvA,Holliday&nbsp;junction&nbsp;ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RuvA,98.1
1218084.BBJK01000032_gene3035,BBJK01000032_gene3035,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000002_gene119,BBJK01000002_gene119,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000145_gene7436,BBJK01000145_gene7436,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000015_gene1555,BBJK01000015_gene1555,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000017_gene1952,BBJK01000017_gene1952,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000091_gene6001,BBJK01000091_gene6001,annotation&nbsp;not&nbsp;available,98.1
1218084.BBJK01000145_gene7428,BBJK01000145_gene7428,annotation&nbsp;not&nbsp;available,98.0
1218084.BBJK01000150_gene7561,trpE,Anthranilate&nbsp;synthase&nbsp;component&nbsp;1,98.0
1218084.BBJK01000016_gene1694,BBJK01000016_gene1694,annotation&nbsp;not&nbsp;available,98.0
1218084.BBJK01000115_gene6768,BBJK01000115_gene6768,annotation&nbsp;not&nbsp;available,98.0
1218084.BBJK01000031_gene3030,BBJK01000031_gene3030,annotation&nbsp;not&nbsp;available,98.0
1218084.BBJK01000148_gene7505,BBJK01000148_gene7505,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000063_gene4776,BBJK01000063_gene4776,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000151_gene7587,BBJK01000151_gene7587,NH(3)-dependent&nbsp;NAD(+)&nbsp;synthetase,97.9
1218084.BBJK01000137_gene7286,BBJK01000137_gene7286,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000034_gene3271,BBJK01000034_gene3271,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000017_gene1870,BBJK01000017_gene1870,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000055_gene4286,BBJK01000055_gene4286,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000032_gene3095,BBJK01000032_gene3095,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000001_gene11,BBJK01000001_gene11,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000095_gene6166,BBJK01000095_gene6166,annotation&nbsp;not&nbsp;available,97.9
1218084.BBJK01000122_gene6944,BBJK01000122_gene6944,Dihydrolipoyllysine-residue&nbsp;succinyltransferase&nbsp;component&nbsp;of&nbsp;2-oxoglutarate&nbsp;dehydrogenase&nbsp;complex,97.9
1218084.BBJK01000032_gene3103,BBJK01000032_gene3103,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000003_gene389,BBJK01000003_gene389,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000094_gene6120,BBJK01000094_gene6120,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000059_gene4584,BBJK01000059_gene4584,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000030_gene2872,BBJK01000030_gene2872,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000083_gene5643,BBJK01000083_gene5643,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000014_gene1502,BBJK01000014_gene1502,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000006_gene739,BBJK01000006_gene739,annotation&nbsp;not&nbsp;available,97.8
1218084.BBJK01000215_gene8172,BBJK01000215_gene8172,annotation&nbsp;not&nbsp;available,97.7
1218084.BBJK01000006_gene898,BBJK01000006_gene898,annotation&nbsp;not&nbsp;available,97.7
1218084.BBJK01000193_gene8076,BBJK01000193_gene8076,annotation&nbsp;not&nbsp;available,97.7
1218084.BBJK01000038_gene3606,BBJK01000038_gene3606,annotation&nbsp;not&nbsp;available,97.7
1218084.BBJK01000023_gene2360,BBJK01000023_gene2360,Flavin&nbsp;prenyltransferase&nbsp;UbiX,97.7
1218084.BBJK01000034_gene3281,BBJK01000034_gene3281,annotation&nbsp;not&nbsp;available,97.7
1218084.BBJK01000125_gene7024,BBJK01000125_gene7024,annotation&nbsp;not&nbsp;available,97.7
1218084.BBJK01000003_gene482,BBJK01000003_gene482,annotation&nbsp;not&nbsp;available,97.7
1218084.BBJK01000007_gene1076,BBJK01000007_gene1076,annotation&nbsp;not&nbsp;available,97.6
1218084.BBJK01000075_gene5195,BBJK01000075_gene5195,annotation&nbsp;not&nbsp;available,97.6
1218084.BBJK01000052_gene4104,BBJK01000052_gene4104,annotation&nbsp;not&nbsp;available,97.6
1218084.BBJK01000192_gene8065,BBJK01000192_gene8065,annotation&nbsp;not&nbsp;available,97.6
1218084.BBJK01000070_gene5032,BBJK01000070_gene5032,annotation&nbsp;not&nbsp;available,97.6
1218084.BBJK01000028_gene2703,gltX,Glutamate--tRNA&nbsp;ligase,97.6
1218084.BBJK01000034_gene3294,BBJK01000034_gene3294,annotation&nbsp;not&nbsp;available,97.6
1218084.BBJK01000108_gene6641,nuoH,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,97.6
1218084.BBJK01000048_gene4017,BBJK01000048_gene4017,annotation&nbsp;not&nbsp;available,97.6
1218084.BBJK01000036_gene3372,BBJK01000036_gene3372,annotation&nbsp;not&nbsp;available,97.5
1218084.BBJK01000103_gene6493,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,97.5
1218084.BBJK01000038_gene3586,BBJK01000038_gene3586,annotation&nbsp;not&nbsp;available,97.5
1218084.BBJK01000171_gene7862,BBJK01000171_gene7862,annotation&nbsp;not&nbsp;available,97.5
1218084.BBJK01000103_gene6455,BBJK01000103_gene6455,annotation&nbsp;not&nbsp;available,97.5
1218084.BBJK01000178_gene7955,BBJK01000178_gene7955,annotation&nbsp;not&nbsp;available,97.5
1218084.BBJK01000023_gene2415,BBJK01000023_gene2415,annotation&nbsp;not&nbsp;available,97.5
1218084.BBJK01000079_gene5479,BBJK01000079_gene5479,annotation&nbsp;not&nbsp;available,97.5
1218084.BBJK01000003_gene514,BBJK01000003_gene514,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000099_gene6255,BBJK01000099_gene6255,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000090_gene5985,BBJK01000090_gene5985,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000107_gene6587,BBJK01000107_gene6587,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000023_gene2389,BBJK01000023_gene2389,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000162_gene7745,BBJK01000162_gene7745,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000004_gene588,BBJK01000004_gene588,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000006_gene759,BBJK01000006_gene759,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000038_gene3555,BBJK01000038_gene3555,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000031_gene3010,BBJK01000031_gene3010,annotation&nbsp;not&nbsp;available,97.4
1218084.BBJK01000085_gene5743,BBJK01000085_gene5743,annotation&nbsp;not&nbsp;available,97.3
1218084.BBJK01000037_gene3502,BBJK01000037_gene3502,annotation&nbsp;not&nbsp;available,97.3
1218084.BBJK01000055_gene4296,BBJK01000055_gene4296,annotation&nbsp;not&nbsp;available,97.3
1218084.BBJK01000027_gene2638,pyrG,CTP&nbsp;synthase,97.3
1218084.BBJK01000102_gene6382,BBJK01000102_gene6382,annotation&nbsp;not&nbsp;available,97.3
1218084.BBJK01000017_gene1944,BBJK01000017_gene1944,annotation&nbsp;not&nbsp;available,97.3
1218084.BBJK01000028_gene2754,fabZ,3-hydroxyacyl-[acyl-carrier-protein]&nbsp;dehydratase&nbsp;FabZ,97.3
1218084.BBJK01000083_gene5672,proC,Pyrroline-5-carboxylate&nbsp;reductase,97.3
1218084.BBJK01000007_gene1050,BBJK01000007_gene1050,annotation&nbsp;not&nbsp;available,97.3
1218084.BBJK01000076_gene5279,BBJK01000076_gene5279,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000016_gene1693,BBJK01000016_gene1693,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000060_gene4610,BBJK01000060_gene4610,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000025_gene2557,ftsJ,Ribosomal&nbsp;RNA&nbsp;large&nbsp;subunit&nbsp;methyltransferase&nbsp;E,97.2
1218084.BBJK01000079_gene5522,BBJK01000079_gene5522,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000002_gene147,BBJK01000002_gene147,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000142_gene7360,BBJK01000142_gene7360,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000060_gene4617,BBJK01000060_gene4617,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000123_gene6973,BBJK01000123_gene6973,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000163_gene7753,rpoB,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta,97.2
1218084.BBJK01000074_gene5165,BBJK01000074_gene5165,annotation&nbsp;not&nbsp;available,97.2
1218084.BBJK01000058_gene4414,BBJK01000058_gene4414,annotation&nbsp;not&nbsp;available,97.1
1218084.BBJK01000066_gene4923,BBJK01000066_gene4923,annotation&nbsp;not&nbsp;available,97.1
1218084.BBJK01000017_gene1853,BBJK01000017_gene1853,annotation&nbsp;not&nbsp;available,97.1
1218084.BBJK01000078_gene5424,BBJK01000078_gene5424,annotation&nbsp;not&nbsp;available,97.1
1218084.BBJK01000007_gene1014,BBJK01000007_gene1014,N-acetyl-gamma-glutamyl-phosphate&nbsp;reductase,97.1
1218084.BBJK01000136_gene7236,BBJK01000136_gene7236,annotation&nbsp;not&nbsp;available,97.1
1218084.BBJK01000023_gene2397,BBJK01000023_gene2397,annotation&nbsp;not&nbsp;available,97.1
1218084.BBJK01000215_gene8171,BBJK01000215_gene8171,annotation&nbsp;not&nbsp;available,97.1
1218084.BBJK01000101_gene6359,BBJK01000101_gene6359,Formate&nbsp;dehydrogenase,97.0
1218084.BBJK01000001_gene82,BBJK01000001_gene82,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000090_gene5955,BBJK01000090_gene5955,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000055_gene4203,purD,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000088_gene5857,BBJK01000088_gene5857,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000003_gene413,BBJK01000003_gene413,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000060_gene4661,BBJK01000060_gene4661,Succinate--CoA&nbsp;ligase&nbsp;[ADP-forming]&nbsp;subunit&nbsp;beta,97.0
1218084.BBJK01000050_gene4075,BBJK01000050_gene4075,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000037_gene3432,BBJK01000037_gene3432,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000032_gene3137,BBJK01000032_gene3137,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000108_gene6628,BBJK01000108_gene6628,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000016_gene1749,BBJK01000016_gene1749,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000137_gene7271,trpF,annotation&nbsp;not&nbsp;available,97.0
1218084.BBJK01000116_gene6803,BBJK01000116_gene6803,annotation&nbsp;not&nbsp;available,96.9
1218084.BBJK01000124_gene7001,BBJK01000124_gene7001,annotation&nbsp;not&nbsp;available,96.9
1218084.BBJK01000025_gene2563,BBJK01000025_gene2563,annotation&nbsp;not&nbsp;available,96.9
1218084.BBJK01000115_gene6754,BBJK01000115_gene6754,annotation&nbsp;not&nbsp;available,96.9
1218084.BBJK01000094_gene6113,BBJK01000094_gene6113,annotation&nbsp;not&nbsp;available,96.9
1218084.BBJK01000177_gene7946,BBJK01000177_gene7946,annotation&nbsp;not&nbsp;available,96.9
1218084.BBJK01000075_gene5196,BBJK01000075_gene5196,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,96.9
1218084.BBJK01000016_gene1800,BBJK01000016_gene1800,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000001_gene40,BBJK01000001_gene40,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000108_gene6650,tpiA,Triosephosphate&nbsp;isomerase,96.8
1218084.BBJK01000107_gene6606,BBJK01000107_gene6606,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000147_gene7480,BBJK01000147_gene7480,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000086_gene5768,BBJK01000086_gene5768,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000083_gene5666,BBJK01000083_gene5666,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000030_gene2817,BBJK01000030_gene2817,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000029_gene2789,BBJK01000029_gene2789,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000034_gene3276,BBJK01000034_gene3276,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000186_gene8019,BBJK01000186_gene8019,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000194_gene8080,BBJK01000194_gene8080,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000103_gene6492,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,96.8
1218084.BBJK01000157_gene7701,BBJK01000157_gene7701,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000031_gene2961,BBJK01000031_gene2961,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000237_gene8198,BBJK01000237_gene8198,annotation&nbsp;not&nbsp;available,96.8
1218084.BBJK01000019_gene2072,BBJK01000019_gene2072,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;1,96.7
1218084.BBJK01000090_gene5971,hisA,annotation&nbsp;not&nbsp;available,96.7
1218084.BBJK01000140_gene7321,BBJK01000140_gene7321,annotation&nbsp;not&nbsp;available,96.7
1218084.BBJK01000083_gene5655,hemH,Ferrochelatase,96.7
1218084.BBJK01000031_gene2924,BBJK01000031_gene2924,annotation&nbsp;not&nbsp;available,96.7
1218084.BBJK01000013_gene1449,BBJK01000013_gene1449,annotation&nbsp;not&nbsp;available,96.7
1218084.BBJK01000150_gene7567,BBJK01000150_gene7567,Phenylacetate-coenzyme&nbsp;A&nbsp;ligase,96.7
1218084.BBJK01000206_gene8150,cbbL,Ribulose&nbsp;bisphosphate&nbsp;carboxylase&nbsp;large&nbsp;chain,96.7
1218084.BBJK01000085_gene5741,BBJK01000085_gene5741,dITP/XTP&nbsp;pyrophosphatase,96.7
1218084.BBJK01000079_gene5458,BBJK01000079_gene5458,annotation&nbsp;not&nbsp;available,96.7
1218084.BBJK01000130_gene7136,BBJK01000130_gene7136,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000095_gene6154,BBJK01000095_gene6154,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000025_gene2542,BBJK01000025_gene2542,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000143_gene7405,BBJK01000143_gene7405,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000013_gene1404,BBJK01000013_gene1404,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000072_gene5068,BBJK01000072_gene5068,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000059_gene4588,BBJK01000059_gene4588,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000007_gene1038,BBJK01000007_gene1038,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000031_gene2904,BBJK01000031_gene2904,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000122_gene6921,BBJK01000122_gene6921,annotation&nbsp;not&nbsp;available,96.6
1218084.BBJK01000093_gene6092,BBJK01000093_gene6092,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000085_gene5729,BBJK01000085_gene5729,Chorismate&nbsp;mutase,96.5
1218084.BBJK01000012_gene1328,BBJK01000012_gene1328,3-dehydroquinate&nbsp;dehydratase,96.5
1218084.BBJK01000072_gene5061,BBJK01000072_gene5061,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000008_gene1185,BBJK01000008_gene1185,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000127_gene7078,BBJK01000127_gene7078,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000001_gene48,BBJK01000001_gene48,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000029_gene2795,BBJK01000029_gene2795,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000030_gene2832,pyrB,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000152_gene7614,BBJK01000152_gene7614,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000015_gene1612,BBJK01000015_gene1612,annotation&nbsp;not&nbsp;available,96.5
1218084.BBJK01000080_gene5568,BBJK01000080_gene5568,annotation&nbsp;not&nbsp;available,96.4
1218084.BBJK01000052_gene4129,pyrD,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),96.4
1218084.BBJK01000188_gene8039,BBJK01000188_gene8039,LPS-assembly&nbsp;protein&nbsp;LptD,96.4
1218084.BBJK01000008_gene1199,BBJK01000008_gene1199,annotation&nbsp;not&nbsp;available,96.4
1218084.BBJK01000093_gene6070,BBJK01000093_gene6070,annotation&nbsp;not&nbsp;available,96.4
1218084.BBJK01000003_gene318,BBJK01000003_gene318,annotation&nbsp;not&nbsp;available,96.4
1218084.BBJK01000008_gene1213,BBJK01000008_gene1213,annotation&nbsp;not&nbsp;available,96.4
1218084.BBJK01000055_gene4294,BBJK01000055_gene4294,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000031_gene2936,BBJK01000031_gene2936,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000017_gene1851,BBJK01000017_gene1851,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000109_gene6660,BBJK01000109_gene6660,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000095_gene6163,BBJK01000095_gene6163,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000173_gene7892,BBJK01000173_gene7892,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000075_gene5201,BBJK01000075_gene5201,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000023_gene2417,BBJK01000023_gene2417,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000001_gene4,BBJK01000001_gene4,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000087_gene5829,BBJK01000087_gene5829,annotation&nbsp;not&nbsp;available,96.3
1218084.BBJK01000025_gene2524,rnc,Ribonuclease&nbsp;3,96.3
1218084.BBJK01000006_gene853,BBJK01000006_gene853,annotation&nbsp;not&nbsp;available,96.2
1218084.BBJK01000018_gene1978,BBJK01000018_gene1978,annotation&nbsp;not&nbsp;available,96.2
1218084.BBJK01000017_gene1827,BBJK01000017_gene1827,annotation&nbsp;not&nbsp;available,96.2
1218084.BBJK01000036_gene3409,BBJK01000036_gene3409,annotation&nbsp;not&nbsp;available,96.2
1218084.BBJK01000164_gene7769,BBJK01000164_gene7769,annotation&nbsp;not&nbsp;available,96.2
1218084.BBJK01000002_gene198,BBJK01000002_gene198,annotation&nbsp;not&nbsp;available,96.2
1218084.BBJK01000036_gene3337,BBJK01000036_gene3337,annotation&nbsp;not&nbsp;available,96.1
1218084.BBJK01000036_gene3347,BBJK01000036_gene3347,annotation&nbsp;not&nbsp;available,96.1
1218084.BBJK01000069_gene5023,dnaE2,Error-prone&nbsp;DNA&nbsp;polymerase,96.1
1218084.BBJK01000189_gene8046,prpE,annotation&nbsp;not&nbsp;available,96.1
